MI,18719,20,19129,20,20179,20,21046,20,22593,17,23428,17,24279,19,25349,19,26903,18,27858,17,29400,18,30024,20,30262,21,31300,21,31768,26,32409,30,33365,35,34419,37,35288,39,33221,40,34326,39,36264,36,37497,35
MN,19710,15,20129,16,21306,15,21601,17,23003,15,24144,15,25871,11,27095,11,29273,8,30562,10,32599,10,33348,9,34071,8,35252,8,37017,7,37892,11,39867,12,41642,13,43466,14,40950,13,42528,10,44560,11,46227,11
MS,13117,50,13749,50,14651,50,15426,50,16512,50,17176,50,18079,50,18880,50,19947,50,20555,50,21555,50,22815,50,23131,50,23970,50,25122,50,26755,49,27917,50,29568,49,30945,50,30013,50,30841,50,32000,50,33073,50
MO,17582,28,18320,27,19327,26,19951,26,21035,25,21832,27,22901,27,24104,27,25419,28,26218,31,27885,31,28637,30,29286,29,30218,29,31412,30,32253,31,34013,29,35521,31,37738,30,35837,31,36406,30,37969,30,39049,31
MT,15346,44,16250,41,16859,44,17787,39,17989,45,18546,47,19261,47,20033,46,21459,46,22045,46,23457,46,25284,44,25635,46,26915,39,28489,40,29975,40,31959,41,33651,40,35323,38,33364,39,34405,38,36016,38,37370,36
NE,17948,24,18523,24,19403,24,19836,29,21024,26,22008,25,23853,21,24359,25,25859,25,27017,24,28590,25,29849,21,30231,23,32009,19,33100,21,34098,21,35432,24,37887,21,40396,21,38438,21,39445,21,42450,19,43143,20
NV,20042,13,20777,13,22099,11,22833,10,23892,9,24914,9,26239,8,27118,10,28624,12,29650,12,30977,14,31125,17,31205,18,32496,17,35019,15,37760,12,38786,16,39872,17,39879,24,35919,30,35777,33,36964,34,37361,37
NH,20236,12,21056,11,21861,12,22311,13,23642,10,24845,10,26649,7,27546,7,29664,7,31036,6,34102,6,34805,7,35231,6,35808,6,37718,6,38528,10,41092,10,42984,9,44199,9,42418,9,43968,8,45881,9,47058,9
NJ,24354,2,24754,2,26270,2,26799,2,27593,2,29022,2,30613,2,32326,2,34212,2,35360,2,38667,2,39635,2,39936,2,40423,2,42302,2,43880,3,47500,3,50256,2,52141,2,49221,3,50428,3,52430,3,53628,3
NM,14823,47,15577,46,16260,46,17039,46,17772,47,18617,46,19289,46,19968,47,21059,47,21461,48,22746,47,24751,47,24977,47,25639,47,27092,47,28641,46,30209,46,31675,46,33490,44,32200,43,32940,43,34133,43,35079,43
